,GeneID,padj,pvalue,stat,baseMean
GeneID,1.0,-0.005701891140408262,2.905963540818065e-05,0.018878763145563873,-0.03992213663331955
padj,-0.005701891140408262,1.0,0.9925375283782398,-0.5368960569091917,0.014833809372057886
pvalue,2.905963540818065e-05,0.9925375283782398,1.0,-0.4887227500578757,0.014924061554969918
stat,0.018878763145563873,-0.5368960569091917,-0.4887227500578757,1.0,-0.04080736974836771
baseMean,-0.03992213663331955,0.014833809372057886,0.014924061554969918,-0.04080736974836771,1.0
